dataset,sample_size,noise_level,clf_type,regularization_value,train_acc,test_acc,train_std,test_std,acc_diff,k
circles,10000,0.1,knn,-,0.8436111111111112,0.827,0.0019124349420064834,0.016309506430300075,0.016611111111111243,15
circles,10000,0.1,knn,-,0.841777777777778,0.8259999999999998,0.003331480966792212,0.015459624833740292,0.015777777777778113,17
circles,10000,0.1,knn,-,0.8397222222222223,0.8265,0.0017435949807194527,0.012257650672131238,0.013222222222222246,19
circles,10000,0.1,log_reg,0.001,0.5105000000000001,0.5105,0.0001666666666666594,0.0015000000000000013,1.1102230246251565e-16,-
circles,10000,0.1,log_reg,0.01,0.5471666666666666,0.534,0.025101583738338897,0.023323807579381184,0.013166666666666549,-
circles,10000,0.1,log_reg,0.1,0.5495,0.5375,0.01436183643128593,0.024824383174612823,0.01200000000000001,-
circles,10000,0.1,log_reg,1,0.5487777777777778,0.5305000000000001,0.013089907524973039,0.01752854814295812,0.018277777777777726,-
circles,10000,0.1,log_reg,10,0.5483333333333332,0.53,0.012726952056245657,0.018027756377319962,0.0183333333333332,-
circles,10000,0.1,log_reg,100,0.5484444444444444,0.53,0.012692468847001332,0.018027756377319962,0.018444444444444374,-
circles,10000,0.1,log_reg,1000,0.5484444444444444,0.53,0.012692468847001332,0.018027756377319962,0.018444444444444374,-
circles,10000,0.1,knn,-,1.0,0.7740000000000001,0.0,0.038,0.22599999999999987,1
circles,10000,0.1,knn,-,0.8856111111111111,0.8035,0.0022966696231771586,0.024804233509624896,0.08211111111111113,3
circles,10000,0.1,knn,-,0.8670555555555556,0.8175000000000001,0.0029507270499754307,0.022830900113661713,0.049555555555555464,5
circles,10000,0.1,knn,-,0.8578333333333333,0.8195,0.00321503028805119,0.02079062288629176,0.03833333333333333,7
circles,10000,0.1,knn,-,0.8508888888888888,0.821,0.00369517536629243,0.027367864366808,0.029888888888888854,9
circles,10000,0.1,knn,-,0.851388888888889,0.8250000000000002,0.003953822966368468,0.02801785145224378,0.026388888888888795,11
circles,10000,0.1,knn,-,0.8501111111111112,0.821,0.0029165343885348308,0.030066592756745798,0.0291111111111112,13
circles,10000,0.1,knn,-,0.8474444444444446,0.8280000000000001,0.0041365578819969415,0.028124722220850447,0.019444444444444486,15
circles,10000,0.1,knn,-,0.844888888888889,0.8280000000000001,0.004771313456351987,0.03075711299845938,0.016888888888888953,17
circles,10000,0.1,knn,-,0.8439444444444444,0.8234999999999999,0.004001928547433782,0.029753151093623666,0.020444444444444487,19
circles,500,0.2,log_reg,0.001,0.5166666666666666,0.52,0.016666666666666673,0.059999999999999984,-0.0033333333333334103,-
circles,500,0.2,log_reg,0.01,0.5133333333333334,0.5,0.04091545031004881,0.10954451150103321,0.01333333333333342,-
circles,500,0.2,log_reg,0.1,0.5888888888888888,0.5599999999999999,0.021659542988464377,0.16852299546352714,0.028888888888888853,-
circles,500,0.2,log_reg,1,0.5955555555555555,0.58,0.020000000000000007,0.16,0.015555555555555545,-
circles,500,0.2,log_reg,10,0.5966666666666666,0.58,0.01990719207463214,0.16,0.016666666666666607,-
circles,500,0.2,log_reg,100,0.5966666666666666,0.58,0.01990719207463214,0.16,0.016666666666666607,-
circles,500,0.2,log_reg,1000,0.5966666666666666,0.58,0.01990719207463214,0.16,0.016666666666666607,-
